timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1592058151921,73,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,13423,2,2,72,1,0,MacBook-Pro-de-Jose.local
1592058151921,131,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,13423,2,2,131,1,0,MacBook-Pro-de-Jose.local
1592058152020,71,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,1197,2,2,71,1,0,MacBook-Pro-de-Jose.local
1592058152053,98,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,1197,2,2,98,1,0,MacBook-Pro-de-Jose.local
1592058152093,95,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,1185,2,2,95,1,0,MacBook-Pro-de-Jose.local
1592058152152,61,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,1185,2,2,61,1,0,MacBook-Pro-de-Jose.local
1592058152189,57,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,928,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152214,77,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,928,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152247,89,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,511,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152292,73,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,511,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152339,104,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,13423,2,2,104,1,0,MacBook-Pro-de-Jose.local
1592058152366,136,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,13423,2,2,136,1,0,MacBook-Pro-de-Jose.local
1592058152444,94,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,1197,2,2,94,1,0,MacBook-Pro-de-Jose.local
1592058152503,78,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,1197,2,2,78,1,0,MacBook-Pro-de-Jose.local
1592058152538,91,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,1185,2,2,91,1,0,MacBook-Pro-de-Jose.local
1592058152581,73,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,1185,2,2,73,1,0,MacBook-Pro-de-Jose.local
1592058152629,59,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,928,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152655,78,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,928,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152689,85,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,511,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152734,65,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,true,,511,2,2,0,1,0,MacBook-Pro-de-Jose.local
1592058152774,89,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,true,,13423,2,2,89,1,0,MacBook-Pro-de-Jose.local
