timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592058151921,73,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13423,159,2,2,http://localhost:8081/issues.json,72,0,6
1592058151921,131,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,13423,159,2,2,http://localhost:8081/issues.json,131,0,6
1592058152020,71,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1197,428,2,2,http://localhost:8081/issues.json,71,0,0
1592058152053,98,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1197,428,2,2,http://localhost:8081/issues.json,98,0,0
1592058152093,95,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,163,2,2,http://localhost:8081/issues/412.json,95,0,0
1592058152152,61,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,163,2,2,http://localhost:8081/issues/413.json,61,0,0
1592058152189,57,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,928,354,2,2,http://localhost:8081/issues/412.json,0,0,0
1592058152214,77,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,928,354,2,2,http://localhost:8081/issues/413.json,0,0,0
1592058152247,89,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,511,246,2,2,http://localhost:8081/issues/412.json,0,0,0
1592058152292,73,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,511,246,2,2,http://localhost:8081/issues/413.json,0,0,0
1592058152339,104,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13423,159,2,2,http://localhost:8081/issues.json,104,0,1
1592058152366,136,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,13423,159,2,2,http://localhost:8081/issues.json,136,0,1
1592058152444,94,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1197,428,2,2,http://localhost:8081/issues.json,94,0,0
1592058152503,78,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1197,428,2,2,http://localhost:8081/issues.json,78,0,0
1592058152538,91,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,163,2,2,http://localhost:8081/issues/414.json,91,0,0
1592058152581,73,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,163,2,2,http://localhost:8081/issues/415.json,73,0,0
1592058152629,59,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,928,354,2,2,http://localhost:8081/issues/414.json,0,0,0
1592058152655,78,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,928,354,2,2,http://localhost:8081/issues/415.json,0,0,0
1592058152689,85,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,511,246,2,2,http://localhost:8081/issues/414.json,0,0,0
1592058152734,65,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,511,246,2,2,http://localhost:8081/issues/415.json,0,0,0
1592058152774,89,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13423,159,2,2,http://localhost:8081/issues.json,89,0,0
1592058152800,119,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,13423,159,4,4,http://localhost:8081/issues.json,119,0,0
1592058152864,110,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1197,428,4,4,http://localhost:8081/issues.json,110,0,0
1592058152889,216,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,13398,159,4,4,http://localhost:8081/issues.json,216,0,1
1592058152889,273,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,13398,159,4,4,http://localhost:8081/issues.json,273,0,1
1592058152919,275,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1197,428,4,4,http://localhost:8081/issues.json,275,0,0
